epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,764.427,0.86972,0.433,1.01992,0.94177,0.97899,0.98953,0.76469,0.95032,0.3766,1.02951,0.0003961,0.0003961,0.0003961
63,775.8,0.86812,0.44179,1.02821,0.94691,0.97852,0.98984,0.77397,0.91536,0.36273,1.00924,0.0003862,0.0003862,0.0003862
64,787.372,0.86534,0.43143,1.02764,0.95596,0.96763,0.98913,0.78084,0.86035,0.36498,0.99787,0.0003763,0.0003763,0.0003763
65,798.972,0.86596,0.42971,1.02137,0.96208,0.95787,0.98879,0.77282,0.90214,0.37468,1.00801,0.0003664,0.0003664,0.0003664
66,810.373,0.8518,0.43177,1.0198,0.96745,0.95242,0.99014,0.78276,0.86854,0.35739,0.99438,0.0003565,0.0003565,0.0003565
67,823.164,0.85292,0.42124,1.02607,0.95716,0.96109,0.98672,0.77403,0.88146,0.36514,1.00192,0.0003466,0.0003466,0.0003466
68,835.214,0.85154,0.42454,1.01804,0.94884,0.97245,0.99065,0.7852,0.87791,0.36061,0.99087,0.0003367,0.0003367,0.0003367
69,847.34,0.83355,0.41691,1.01447,0.95394,0.97186,0.99074,0.77213,0.92212,0.3654,1.014,0.0003268,0.0003268,0.0003268
70,859.402,0.85158,0.42466,1.01065,0.95335,0.96331,0.9889,0.77486,0.91299,0.36329,1.01595,0.0003169,0.0003169,0.0003169
71,871.485,0.82778,0.41868,1.01495,0.97671,0.94072,0.99026,0.78228,0.8771,0.35621,0.99969,0.000307,0.000307,0.000307
72,884.143,0.86474,0.42693,1.05374,0.97309,0.94949,0.98983,0.78143,0.88815,0.35816,1.00477,0.0002971,0.0002971,0.0002971
73,895.794,0.84251,0.42223,1.02067,0.94068,0.96513,0.98797,0.77576,0.90547,0.36254,1.01149,0.0002872,0.0002872,0.0002872
74,907.416,0.8385,0.41695,1.0143,0.96294,0.95364,0.98927,0.78339,0.85603,0.35614,0.99651,0.0002773,0.0002773,0.0002773
75,919.027,0.83952,0.41244,1.01791,0.96404,0.95754,0.99061,0.77636,0.88165,0.35089,1.00654,0.0002674,0.0002674,0.0002674
76,930.737,0.82316,0.40227,1.00457,0.94759,0.97245,0.98906,0.777,0.89315,0.35743,1.00127,0.0002575,0.0002575,0.0002575
77,942.178,0.82821,0.40056,1.0072,0.96436,0.95676,0.98915,0.78511,0.86093,0.35932,0.99689,0.0002476,0.0002476,0.0002476
78,953.858,0.82941,0.41128,1.00878,0.95942,0.96916,0.99003,0.78605,0.88194,0.35147,0.99671,0.0002377,0.0002377,0.0002377
79,965.497,0.80743,0.38858,0.99824,0.9569,0.96422,0.98825,0.77988,0.88817,0.35678,1.00301,0.0002278,0.0002278,0.0002278
80,976.925,0.81222,0.38997,0.9919,0.95635,0.96357,0.98938,0.78594,0.86963,0.35056,0.99692,0.0002179,0.0002179,0.0002179
81,988.568,0.80237,0.38322,0.99733,0.947,0.97613,0.98962,0.78027,0.90129,0.3529,1.00555,0.000208,0.000208,0.000208
82,999.992,0.80542,0.38855,0.99285,0.95436,0.97249,0.99017,0.79209,0.87102,0.34786,0.99617,0.0001981,0.0001981,0.0001981
83,1011.72,0.8136,0.39182,0.99559,0.96205,0.97133,0.99047,0.78571,0.87361,0.34047,0.99993,0.0001882,0.0001882,0.0001882
84,1023.24,0.79787,0.37956,0.98806,0.96377,0.95719,0.9898,0.78428,0.8797,0.34875,1.004,0.0001783,0.0001783,0.0001783
85,1034.84,0.81407,0.39257,0.99853,0.96226,0.96314,0.98986,0.78987,0.84559,0.33729,0.99252,0.0001684,0.0001684,0.0001684
86,1046.36,0.81688,0.39332,0.99622,0.94197,0.98156,0.98958,0.79119,0.85962,0.33946,0.9952,0.0001585,0.0001585,0.0001585
87,1057.89,0.80955,0.38831,0.99684,0.95255,0.96847,0.98941,0.7911,0.86,0.34421,0.99479,0.0001486,0.0001486,0.0001486
88,1069.61,0.81456,0.39571,1.00354,0.96665,0.95629,0.9892,0.78702,0.8772,0.34964,1.00091,0.0001387,0.0001387,0.0001387
89,1082.69,0.79721,0.39695,1.00439,0.96367,0.95364,0.98961,0.7853,0.86055,0.3419,0.99655,0.0001288,0.0001288,0.0001288
90,1094.5,0.79932,0.37659,0.99861,0.94707,0.97636,0.98975,0.79159,0.85462,0.33965,0.99503,0.0001189,0.0001189,0.0001189
91,1123.96,0.74084,0.3018,0.97558,0.96353,0.96796,0.98758,0.7789,0.8685,0.34827,0.99849,0.000109,0.000109,0.000109
92,1136.06,0.72367,0.29183,0.96967,0.94317,0.97399,0.98818,0.7811,0.86239,0.34888,1.00053,9.91e-05,9.91e-05,9.91e-05
93,1148.61,0.72421,0.29425,0.97917,0.96318,0.95636,0.98916,0.78433,0.86675,0.34582,0.99942,8.92e-05,8.92e-05,8.92e-05
94,1160.97,0.72333,0.29073,0.96651,0.96704,0.95402,0.98899,0.78725,0.85846,0.34342,0.99438,7.93e-05,7.93e-05,7.93e-05
95,1173.14,0.71961,0.28911,0.9661,0.96926,0.95487,0.98904,0.78415,0.86595,0.34007,0.99765,6.94e-05,6.94e-05,6.94e-05
96,1184.94,0.71604,0.28634,0.96817,0.9674,0.95564,0.98766,0.79057,0.86064,0.34651,0.99939,5.95e-05,5.95e-05,5.95e-05
97,1196.49,0.71479,0.28468,0.96435,0.9671,0.95637,0.98873,0.79189,0.85758,0.34499,0.99596,4.96e-05,4.96e-05,4.96e-05
98,1207.75,0.71279,0.28076,0.96278,0.9666,0.95683,0.98901,0.79079,0.87278,0.34374,1.00238,3.97e-05,3.97e-05,3.97e-05
99,1219.21,0.71502,0.28196,0.9642,0.97299,0.94465,0.98877,0.7874,0.87301,0.34494,1.00334,2.98e-05,2.98e-05,2.98e-05
100,1230.63,0.69988,0.27865,0.96709,0.97374,0.94465,0.98801,0.78906,0.8672,0.34547,1.00045,1.99e-05,1.99e-05,1.99e-05
